pas_lineametro,pas_periodo,pas_valor
METRO_LINEA_H,201904,61057
METRO_LINEA_J,201904,317949
METRO_LINEA_1_BUSES,201904,1995039
METRO_CUENCA_3,201904,655953
METRO_LINEA_2_BUSES,201904,332838
METRO_CUENCA_7_INTEGRADOS,201904,440079
METRO_CUENCA_6,201904,1222669
METRO_LINEA_A,201904,12871922
METRO_LINEA_K,201904,637730
METRO_LINEA_L,201904,77241
METRO_CUENCA_9_INTEGRADOS,201904,138306
METRO_TRANVIA,201904,800858
METRO_LINEA_B,201904,2141433
METRO_CUENCA_5_INTEGRADOS,201904,465206
METRO_CUENCA_5_INTEGRADOS,201804,439296
METRO_LINEA_H,201804,60478
METRO_CUENCA_3,201804,646902
METRO_CUENCA_6,201804,1109478
METRO_CUENCA_9_INTEGRADOS,201804,131685
METRO_LINEA_J,201804,436965
METRO_LINEA_2_BUSES,201804,336914
METRO_LINEA_K,201804,627610
METRO_LINEA_A,201804,14721662
METRO_TRANVIA,201804,721761
METRO_LINEA_1_BUSES,201804,2138519
METRO_LINEA_B,201804,2471310
METRO_LINEA_L,201804,62698
METRO_CUENCA_7_INTEGRADOS,201804,415014
METRO_LINEA_2_BUSES,201704,308637
METRO_LINEA_B,201704,2438616
METRO_LINEA_1_BUSES,201704,1890173
METRO_TRANVIA,201704,538026
METRO_LINEA_L,201704,88273
METRO_CUENCA_3,201704,547506
METRO_LINEA_J,201704,402992
METRO_LINEA_K,201704,603523
METRO_LINEA_H,201704,50716
METRO_CUENCA_7_INTEGRADOS,201704,359731
METRO_CUENCA_9_INTEGRADOS,201704,115016
METRO_CUENCA_6,201704,956458
METRO_LINEA_A,201704,13629656
METRO_CUENCA_5_INTEGRADOS,201704,361635
METRO_LINEA_K,201604,576172
METRO_LINEA_B,201604,2443754
METRO_TRANVIA,201604,260741
METRO_LINEA_H,201604,0
METRO_CUENCA_6,201604,1096954
METRO_LINEA_L,201604,57117
METRO_CUENCA_7_INTEGRADOS,201604,368374
METRO_LINEA_J,201604,388801
METRO_LINEA_2_BUSES,201604,342476
METRO_LINEA_1_BUSES,201604,2057234
METRO_LINEA_A,201604,14053004
METRO_CUENCA_3,201604,554154
METRO_CUENCA_5_INTEGRADOS,201604,0
METRO_LINEA_2_BUSES,201504,332086
METRO_LINEA_K,201504,580095
METRO_LINEA_L,201504,63286
METRO_CUENCA_3,201504,471303
METRO_CUENCA_6,201504,885061
METRO_LINEA_J,201504,371154
METRO_LINEA_1_BUSES,201504,1816887
METRO_LINEA_A,201504,13848320
METRO_LINEA_B,201504,2379834
METRO_CUENCA_3,201404,434928
METRO_LINEA_1_BUSES,201404,1689960
METRO_LINEA_2_BUSES,201404,349969
METRO_CUENCA_6,201404,763922
METRO_LINEA_K,201404,564910
METRO_LINEA_B,201404,2136594
METRO_LINEA_J,201404,353396
METRO_LINEA_A,201404,12189994
METRO_LINEA_L,201404,74616
METRO_LINEA_K,201304,347071
METRO_LINEA_1_BUSES,201304,1214188
METRO_LINEA_A,201304,12444683
METRO_LINEA_L,201304,31956
METRO_LINEA_J,201304,301541
METRO_CUENCA_3,201304,0
METRO_LINEA_B,201304,2125663
METRO_CUENCA_6,201304,0
METRO_LINEA_2_BUSES,201304,18878
METRO_LINEA_J,201204,189889
METRO_LINEA_B,201204,1855716
METRO_LINEA_A,201204,10463017
METRO_LINEA_L,201204,57841
METRO_LINEA_1_BUSES,201204,730833
METRO_LINEA_K,201204,301056
METRO_LINEA_J,201104,156812
METRO_LINEA_A,201104,10556834
METRO_LINEA_K,201104,293890
METRO_LINEA_L,201104,58525
METRO_LINEA_1_BUSES,201104,0
METRO_LINEA_B,201104,1838067
METRO_LINEA_1_BUSES,202003,1468911
METRO_LINEA_J,202003,309539
METRO_CUENCA_3,202003,501127
METRO_LINEA_2_BUSES,202003,232316
